Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
MGAT2_HUMAN	18366.9	17960.6	18100	15697.7	16887.3	15943.2	18171	16544	21282.4	16786.8	13508.4	15614.4	18112.5	22322.1	17715.9	19684.4	13170.8	14145	17780.4	15125.1	15726.7	15703.1	17204.8	16105.5	17750	21326.7	18823.4	18757.1	16423.8	16631.7
MGME1_HUMAN	3722.99	2475.95	3334.46	3481.32	3780.73	2362.04	2266.53	2599.94	2531.34	3505.8	1682.58	2558.06	3148.95	2423.15	4150.56	1898.73	2056.34	3167.6	2883.73	2578.78	3885.19	1871.15	2303.17	1718.27	3942.43	1581.94	1201.15	2824.95	2216.64	2557.46
MGMT_HUMAN	1386.52	1761.73	2098.95	2157.8	1595.03	1815.86	1157.91	1644.91	1834.94	1790.27	915.66	2015.71	1650.09	1411.14	1195.91	2414.72	1921.09	1190.68	1805.44	1070.86	1281.67	1272.41	1434.63	1613.32	2184.78	2423.01	1273.7	1625.72	1264.2	1505.47
MGN2_HUMAN;MGN_HUMAN	303123	322958	296899	307974	284298	305949	289095	294956	296586	269778	269102	264950	310608	301969	287530	323460	300821	309679	335049	304503	262970	293747	270785	266443	324225	313349	309446	300575	335821	279681
MGP_HUMAN	16323.1	18431.3	20368.5	15494.5	16561.3	14813.9	16331.3	16631.9	12178.4	13715.8	12489.6	12134.8	14770.5	12606.3	11437.2	11408.1	9544.25	10424.6	13200.4	7609.48	11551.2	9872.29	11696.3	9519.36	12745	14522.1	9328.23	11383.9	11691	9552.78
MGST3_HUMAN	23113.4	18966.9	17897.9	15507.9	14382.8	14260.1	15354.9	19204.5	19847.3	14451.5	13168.1	18118.9	15770.2	19054.5	15575.5	15877	19391.8	13887.2	20627.1	14993.6	13790.7	14911	11921	11045	21165	21851.7	18131.1	20490.4	18452.3	17428.7
MIB1_HUMAN	14503.6	14085	13253.4	12865.8	14089	13633.4	13793.6	14653	15041.6	13010.9	12890.2	15130	12607.8	13658.2	12881.3	13306.9	13909.6	13586.4	12485.4	13242.3	13195.8	13619.4	12383.6	12815.8	14055	13173	13015.2	13924.5	13568.9	12712
MIB2_HUMAN	12664.9	11845.5	11550.3	10749.5	14124.3	13387.4	11799.4	11792.2	13186.6	11333.9	13213.8	13208.8	11772	13106.1	12842.4	13096.4	11297.2	13456.8	12445.1	13128.3	14567.1	12815.5	12560.7	13446.2	13343.6	11648.3	12783.2	13311.8	13981.1	11606.7
MIC10_HUMAN	1885.23	1326.6	918.767	1708.23	NA	895.341	1151.32	1735.71	2066.23	1607.51	1034.76	998.46	1176.52	816.672	1074	983.768	1759.51	1361.9	990.959	810.123	920.295	872.196	NA	736.655	1438.3	1458.42	1324.64	837.604	1764.8	1512.5
MIC13_HUMAN	3758.94	7102.27	2373.49	4415.88	3786.15	3992.02	3148.4	4280.42	3384.68	NA	3900.14	2500.77	4126.58	4999.35	3763.34	2649.91	4862	3684.92	3131.97	3466.42	3251.13	NA	4798.56	4902.68	4210.46	1505.2	4087.14	4383.71	3203.8	3405.16
MIC19_HUMAN	42127.7	26503	32382.8	18621.4	18001.8	18119.7	25152.6	27642.5	26262.7	23610.8	18264.5	33101	27056.6	35251.4	33713.8	21249.2	24020	20855.4	27719	21417.4	26590	22159.5	21445.6	26333.6	35003.1	40623.7	26256.9	33264.3	23195.1	24409.4
MIC25_HUMAN	10663.3	6308.43	8324.21	4391.21	4964.05	2955.21	5001.05	4649.74	2036.86	6350	3138.46	5174.35	8286.36	11556.4	8624.4	3681.15	4092.77	4561.3	7975.06	4088.03	4872.25	NA	NA	8209.96	8244.52	10490.2	6188.35	6643.71	6313.7	5651.19
