Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
PCDGK_HUMAN	619.974	454.304	NA	701.157	NA	NA	947.274	535.003	595.401	255.862	977.558	169.712	406.507	NA	523.313	NA	214.909	NA	151.437	500.541	NA	NA	NA	NA	NA	NA	NA	NA	NA	384.04
PDCL3_HUMAN	5695.26	10300.3	6028.02	9309.19	NA	4507.19	9636.68	8369.81	7057.33	8020.51	10015.4	6503.38	6270.23	7660.3	4929.81	13583.6	6168.87	4161.65	6062.15	NA	NA	7013.67	NA	NA	NA	12839	6070.92	4073.78	8558.88	6119.94
PIP_HUMAN	1789.83	1295.84	NA	1114.6	1498	NA	1464.14	389.929	NA	NA	1579.88	NA	1327.89	NA	NA	1079.91	990.543	NA	946.075	1716.76	NA	1920.33	NA	NA	NA	NA	915.805	1239.18	NA	NA
PLPP1_HUMAN	447.512	284.28	220.952	445.849	365.557	438.97	NA	248.091	519.33	284.4	NA	355.674	369.806	260.643	409.789	604.73	280.882	305.094	351.083	NA	NA	NA	NA	415.31	707.405	373.787	210.009	874.193	223.354	334.435
PPCE_HUMAN	NA	NA	1437.87	NA	NA	NA	NA	1058.16	1406.33	NA	NA	1689.28	1335.28	NA	1350.3	NA	1138.9	NA	950.788	NA	NA	NA	NA	NA	1580.12	NA	NA	NA	NA	NA
PPR37_HUMAN	NA	NA	4475.34	NA	4279.93	3798.64	5992.83	NA	3931.8	2148.7	3770.55	4846.21	6187.6	5202.76	NA	NA	5353.31	NA	6683.4	5575.95	NA	4254.19	NA	4003.31	NA	NA	NA	5261.79	NA	4356.62
PRGR_HUMAN	NA	NA	NA	NA	NA	NA	18677	NA	NA	NA	NA	NA	NA	NA	NA	NA	18224.8	NA	NA	15493.1	NA	NA	11542.8	7957.78	NA	NA	NA	NA	NA	NA
RASF4_HUMAN	NA	NA	580.451	NA	NA	475.741	NA	NA	NA	NA	NA	205.756	NA	221.663	NA	NA	275.789	NA	297.505	NA	NA	NA	NA	NA	224.156	379.349	430.272	NA	146.802	NA
RB33B_HUMAN	NA	NA	4252.15	NA	3146.47	NA	NA	NA	1608.81	NA	NA	5985.57	3939.31	NA	7396.52	NA	NA	7176.03	NA	NA	10868.6	7489.63	NA	8180.13	NA	NA	2658.09	8425.6	NA	NA
RFX8_HUMAN	26500.6	NA	NA	NA	NA	NA	32213.2	NA	NA	NA	31302.8	NA	NA	30474	NA	28801.5	NA	NA	NA	NA	NA	34365.3	31021.5	NA	NA	NA	NA	25666.1	NA	NA
RGL1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1888.39	NA	NA	NA	1370.74	NA	NA	NA	NA	NA	NA	NA	NA	1140.49	NA	NA	NA	NA	NA
RGSL_HUMAN	NA	3218.01	NA	2709.89	2926.66	1513.23	2651.29	2307.96	NA	NA	NA	NA	NA	NA	NA	NA	1577.97	NA	2363.12	NA	NA	1354.2	2789.42	1367.95	NA	2203.34	1903.51	3323.72	2961.94	2439.62
RHG30_HUMAN;RHG32_HUMAN;RHG33_HUMAN	1105.99	NA	933.065	NA	NA	886.949	NA	NA	NA	NA	NA	NA	734.122	706.457	NA	NA	752.716	1213.79	550.16	1369.67	NA	NA	NA	NA	702.235	NA	NA	897.313	NA	NA
RIMC1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	920.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	468.509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S10A8_HUMAN	NA	6878.75	NA	NA	NA	NA	5855.54	NA	6480.43	5860.67	NA	NA	NA	NA	6228.09	3407.26	5137.78	7790.79	6069	6412.34	NA	6834.31	4391.01	NA	NA	NA	NA	NA	4737.18	5268.03
S2540_HUMAN	NA	NA	NA	NA	NA	654.908	NA	876.369	801.782	666.091	NA	NA	NA	524.805	NA	NA	669.436	NA	667.017	728.455	333.695	NA	648.985	NA	818.247	603.602	799.627	363.586	995.578	NA
SBP1_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5634.28	NA
SLMAP_HUMAN	8890.01	10457.7	14292.4	9536.25	10587.1	9211.48	8734.7	9871.12	13776.2	11653.6	NA	11975.3	9912.83	11715.7	NA	11084.3	12718.8	10275.8	11582.8	NA	11759	10968.1	NA	13702.8	NA	NA	NA	NA	12808.5	NA
SLNL1_HUMAN	NA	NA	NA	NA	NA	NA	7665.76	NA	3309.59	NA	NA	3803.96	NA	NA	NA	NA	NA	NA	7137.19	5212.6	NA	NA	NA	NA	NA	NA	NA	NA	5554.13	NA
SNAI1_HUMAN	4220.5	5024.16	4410.89	5324.83	6676.27	5510.63	4897.93	5933.07	4922.6	5884.39	4795.21	4564.63	2664.37	NA	2882.45	NA	NA	NA	3812.55	NA	NA	3631.67	NA	NA	3103.57	NA	3968.94	2137.88	NA	3901.69
SNR25_HUMAN	NA	NA	NA	NA	NA	NA	NA	1212.17	179.077	1113.56	NA	1741.57	NA	NA	NA	NA	964.363	986.837	814.879	1150.37	1207.91	NA	NA	869.106	674.717	NA	NA	NA	NA	NA
SNX7_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX8_HUMAN	NA	1189.73	1023.41	1457.82	NA	NA	NA	1181.67	1510.16	NA	NA	1166.82	1319.17	NA	NA	NA	NA	1692.47	1609.17	1202.11	NA	1289.46	NA	1671.1	NA	NA	2144.14	NA	NA	NA
STXB4_HUMAN	777.436	428.956	1048.71	NA	1567.38	797.84	NA	1525.18	1454.19	1066.09	NA	1661.78	NA	804.881	1312.13	NA	1238.74	1665.56	1030.14	NA	923.403	NA	1156.43	1338.54	920.75	NA	1015.87	NA	NA	NA
T2AG_HUMAN	NA	NA	NA	3505.24	1961.9	1167.48	2078.89	586.468	1521.77	NA	NA	1335.09	NA	886.687	684.09	1572.54	1675.64	NA	NA	NA	NA	2848.42	3637.55	NA	NA	1218.89	4433.51	3516.94	1793.93	3268.77
